City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_speed
Pilar,AR,2019-12-08 01:26:33,-34.46,-58.91,73.4,56,100,10.29
Portobelo,PA,2019-12-08 01:26:35,9.55,-79.65,77.0,94,40,3.8
Rikitea,PF,2019-12-08 01:23:04,-23.12,-134.97,74.44,72,100,21.39
Axim,GH,2019-12-08 01:26:35,4.87,-2.24,75.87,90,67,1.54
Provideniya,RU,2019-12-08 01:23:37,64.42,-173.23,11.61,92,98,24.81
Rocha,UY,2019-12-08 01:26:36,-34.48,-54.34,49.84,81,1,2.53
Bethel,US,2019-12-08 01:26:36,60.79,-161.76,35.6,86,90,21.92
Praia da Vitoria,PT,2019-12-08 01:24:05,38.73,-27.07,64.0,88,75,12.46
Yellowknife,CA,2019-12-08 01:26:36,62.45,-114.38,-27.0,66,75,2.1
Taltal,CL,2019-12-08 01:26:37,-25.41,-70.49,57.33,83,0,1.28
Waipawa,NZ,2019-12-08 01:26:37,-39.94,176.59,68.0,75,68,3.0
Pitimbu,BR,2019-12-08 01:22:31,-7.47,-34.81,80.6,83,75,6.93
Punta Arenas,CL,2019-12-08 01:26:39,-53.16,-70.91,46.4,81,100,12.75
Witu,KE,2019-12-08 01:26:39,-2.39,40.44,77.0,94,40,4.76
Mar del Plata,AR,2019-12-08 01:23:24,-46.43,-67.52,65.86,40,35,2.95
Rosetown,CA,2019-12-08 01:26:39,51.55,-107.99,15.01,79,100,13.0
Cape Town,ZA,2019-12-08 01:21:46,-33.93,18.42,69.01,72,16,16.11
Hithadhoo,MV,2019-12-08 01:26:39,-0.6,73.08,82.13,78,25,11.1
Ushuaia,AR,2019-12-08 01:26:39,-54.81,-68.31,42.8,81,75,33.33
Victoria,BN,2019-12-08 01:23:59,5.28,115.24,82.4,83,75,3.36
Ust-Ilimsk,RU,2019-12-08 01:26:39,57.96,102.73,16.81,93,97,8.32
Saldanha,PT,2019-12-08 01:26:40,41.42,-6.55,40.98,90,1,2.39
Kapaa,US,2019-12-08 01:26:40,22.08,-159.32,82.4,69,40,5.82
Cherskiy,RU,2019-12-08 01:26:40,68.75,161.3,-27.87,100,19,3.09
Pisco,PE,2019-12-08 01:26:40,-13.71,-76.2,68.0,88,90,17.22
Butaritari,KI,2019-12-08 01:26:12,3.07,172.79,75.85,95,100,10.8
Sao Felix do Xingu,BR,2019-12-08 01:26:40,-6.64,-51.99,74.03,88,98,2.71
Albany,US,2019-12-08 01:26:40,42.65,-73.75,23.0,67,1,4.65
Bilibino,RU,2019-12-08 01:26:40,68.06,166.44,-22.68,100,54,1.39
Tasiilaq,GL,2019-12-08 01:26:40,65.61,-37.64,26.6,63,58,12.75
Mataura,NZ,2019-12-08 01:26:41,-46.19,168.86,57.0,68,98,7.0
